"No.","Time","Source","Destination","Protocol","Length","Info"
"1421","9.320520806","10.10.78.22","192.168.42.169","TCP","66","[TCP ACKed unseen segment] 3128  >  57184 [ACK] Seq=1 Ack=465 Win=139 Len=0 TSval=38203099 TSecr=3282695651"
"1429","9.473887317","10.10.78.22","192.168.42.169","TCP","66","[TCP ACKed unseen segment] 3128  >  57202 [ACK] Seq=1 Ack=2 Win=144 Len=0 TSval=38203138 TSecr=3282693184"
"1439","10.207963493","192.168.42.169","10.10.78.22","TCP","66","[TCP Dup ACK 1#1] 57172  >  3128 [ACK] Seq=1 Ack=1 Win=267 Len=0 TSval=3282695874 TSecr=38200771"
"1443","10.218471349","10.10.78.22","192.168.42.169","TCP","66","[TCP Dup ACK 2#1] [TCP ACKed unseen segment] 3128  >  57172 [ACK] Seq=1 Ack=2 Win=147 Len=0 TSval=38203323 TSecr=3282690815"
"1445","10.463959167","192.168.42.169","10.10.78.22","TCP","66","[TCP Dup ACK 5#1] 57178  >  3128 [ACK] Seq=1 Ack=1 Win=317 Len=0 TSval=3282695938 TSecr=38200883"
"1446","10.477149066","10.10.78.22","192.168.42.169","TCP","66","[TCP Dup ACK 6#1] [TCP ACKed unseen segment] 3128  >  57178 [ACK] Seq=1 Ack=2 Win=139 Len=0 TSval=38203388 TSecr=3282690929"
"1481","14.815975572","192.168.42.169","10.7.174.111","TCP","66","[TCP Keep-Alive] 43872  >  80 [ACK] Seq=6295 Ack=204102 Win=184832 Len=0 TSval=2704094350 TSecr=2549399587"
"1482","14.815998766","192.168.42.169","10.7.174.111","TCP","66","[TCP Keep-Alive] 43874  >  80 [ACK] Seq=9387 Ack=237751 Win=184832 Len=0 TSval=2704094350 TSecr=2549399564"
"1483","14.816002482","192.168.42.169","10.7.174.111","TCP","66","[TCP Keep-Alive] 43876  >  80 [ACK] Seq=5252 Ack=173374 Win=184832 Len=0 TSval=2704094350 TSecr=2549399557"
"1484","14.816006129","192.168.42.169","10.7.174.111","TCP","66","[TCP Keep-Alive] 43878  >  80 [ACK] Seq=4418 Ack=86526 Win=184832 Len=0 TSval=2704094350 TSecr=2549399558"
"1485","14.816008699","192.168.42.169","10.7.174.111","TCP","66","[TCP Keep-Alive] 43880  >  80 [ACK] Seq=4887 Ack=162887 Win=184832 Len=0 TSval=2704094350 TSecr=2549399557"
"1486","14.816010778","192.168.42.169","10.7.174.111","TCP","66","[TCP Keep-Alive] 43870  >  80 [ACK] Seq=6178 Ack=146330 Win=184832 Len=0 TSval=2704094350 TSecr=2549399557"
"1492","15.054258267","10.7.174.111","192.168.42.169","TCP","66","[TCP Keep-Alive ACK] 80  >  43872 [ACK] Seq=204102 Ack=6296 Win=29568 Len=0 TSval=2549402133 TSecr=2704091828"
"1493","15.055361896","10.7.174.111","192.168.42.169","TCP","66","[TCP Keep-Alive ACK] 80  >  43874 [ACK] Seq=237751 Ack=9388 Win=36992 Len=0 TSval=2549402138 TSecr=2704091819"
"1494","15.055447610","10.7.174.111","192.168.42.169","TCP","66","[TCP Keep-Alive ACK] 80  >  43876 [ACK] Seq=173374 Ack=5253 Win=27392 Len=0 TSval=2549402142 TSecr=2704091810"
"1495","15.055493701","10.7.174.111","192.168.42.169","TCP","66","[TCP Keep-Alive ACK] 80  >  43878 [ACK] Seq=86526 Ack=4419 Win=25216 Len=0 TSval=2549402143 TSecr=2704091810"
"1496","15.056130268","10.7.174.111","192.168.42.169","TCP","66","[TCP Keep-Alive ACK] 80  >  43880 [ACK] Seq=162887 Ack=4888 Win=26368 Len=0 TSval=2549402148 TSecr=2704091809"
"1497","15.056347807","10.7.174.111","192.168.42.169","TCP","66","[TCP Keep-Alive ACK] 80  >  43870 [ACK] Seq=146330 Ack=6179 Win=29568 Len=0 TSval=2549402149 TSecr=2704091810"
"1511","15.999977925","192.168.42.169","40.77.226.250","TCP","1079","[TCP Retransmission] 45224  >  443 [PSH, ACK] Seq=493 Ack=3659 Win=37760 Len=1013 TSval=1930727441 TSecr=39375926"
"1519","16.214989019","40.77.226.250","192.168.42.169","TCP","78","[TCP Dup ACK 1512#1] 443  >  45224 [ACK] Seq=4017 Ack=1506 Win=130048 Len=0 TSval=39376013 TSecr=1930727279 SLE=493 SRE=1506"
"1530","16.895994599","192.168.42.169","40.77.226.250","TCP","66","[TCP Retransmission] 45224  >  443 [FIN, ACK] Seq=1591 Ack=4017 Win=40576 Len=0 TSval=1930727665 TSecr=39376013"
"1563","19.197239897","10.10.78.22","192.168.42.169","TCP","78","[TCP Dup ACK 1561#1] 3128  >  57222 [ACK] Seq=17638 Ack=15509 Win=42368 Len=0 TSval=38205550 TSecr=3282698070 SLE=16893 SRE=18277"
"1564","19.197241062","10.10.78.22","192.168.42.169","TCP","78","[TCP Dup ACK 1561#2] 3128  >  57222 [ACK] Seq=17638 Ack=15509 Win=42368 Len=0 TSval=38205551 TSecr=3282698070 SLE=16893 SRE=19661"
"1565","19.210513754","10.10.78.22","192.168.42.169","TCP","78","[TCP Dup ACK 1561#3] 3128  >  57222 [ACK] Seq=17638 Ack=15509 Win=42368 Len=0 TSval=38205557 TSecr=3282698070 SLE=16893 SRE=21045"
"1566","19.210555084","192.168.42.169","10.10.78.22","TCP","1450","[TCP Fast Retransmission] 57222  >  3128 [ACK] Seq=15509 Ack=17638 Win=79616 Len=1384 TSval=3282698124 TSecr=38205557[Reassembly error, protocol TCP: New fragment overlaps old data (retransmission?)]"
"1567","19.220163010","10.10.78.22","192.168.42.169","TCP","78","[TCP Dup ACK 1561#4] 3128  >  57222 [ACK] Seq=17638 Ack=15509 Win=42368 Len=0 TSval=38205558 TSecr=3282698070 SLE=16893 SRE=22429"
"1568","19.222953014","10.10.78.22","192.168.42.169","TCP","78","[TCP Dup ACK 1561#5] 3128  >  57222 [ACK] Seq=17638 Ack=15509 Win=42368 Len=0 TSval=38205559 TSecr=3282698070 SLE=16893 SRE=23813"
"1569","19.225593897","10.10.78.22","192.168.42.169","TCP","78","[TCP Dup ACK 1561#6] 3128  >  57222 [ACK] Seq=17638 Ack=15509 Win=42368 Len=0 TSval=38205560 TSecr=3282698070 SLE=16893 SRE=25197"
"1570","19.230024374","10.10.78.22","192.168.42.169","TCP","78","[TCP Dup ACK 1561#7] 3128  >  57222 [ACK] Seq=17638 Ack=15509 Win=42368 Len=0 TSval=38205562 TSecr=3282698070 SLE=16893 SRE=26581"
"1571","19.230025289","10.10.78.22","192.168.42.169","TCP","78","[TCP Dup ACK 1561#8] 3128  >  57222 [ACK] Seq=17638 Ack=15509 Win=42368 Len=0 TSval=38205563 TSecr=3282698070 SLE=16893 SRE=27965"
"1572","19.231666331","10.10.78.22","192.168.42.169","TCP","78","[TCP Dup ACK 1561#9] 3128  >  57222 [ACK] Seq=17638 Ack=15509 Win=42368 Len=0 TSval=38205566 TSecr=3282698070 SLE=16893 SRE=28425"
"1574","19.424050839","192.168.42.169","10.10.78.22","TCP","66","[TCP Dup ACK 1411#1] 57188  >  3128 [ACK] Seq=1 Ack=1 Win=257 Len=0 TSval=3282698178 TSecr=38203066"
"1575","19.459500951","10.10.78.22","192.168.42.169","TCP","66","[TCP Dup ACK 1412#1] [TCP ACKed unseen segment] 3128  >  57188 [ACK] Seq=1 Ack=2 Win=130 Len=0 TSval=38205627 TSecr=3282693105"
"1576","19.679977306","192.168.42.169","10.10.78.22","TCP","66","[TCP Dup ACK 1428#1] 57202  >  3128 [ACK] Seq=1 Ack=1 Win=317 Len=0 TSval=3282698242 TSecr=38203138"
"1585","19.711968888","192.168.42.169","10.10.78.22","TCP","66","[TCP Keep-Alive] 57220  >  3128 [ACK] Seq=3115 Ack=4187 Win=40576 Len=0 TSval=3282698250 TSecr=38203193"
"1597","19.855765537","10.7.174.111","192.168.42.169","TCP","66","[TCP Spurious Retransmission] 80  >  43880 [FIN, ACK] Seq=162887 Ack=4888 Win=26368 Len=0 TSval=2549403369 TSecr=2704091809"
"1598","19.855785211","192.168.42.169","10.7.174.111","TCP","78","[TCP Dup ACK 1580#1] 43880  >  80 [ACK] Seq=4889 Ack=162888 Win=184832 Len=0 TSval=2704095609 TSecr=2549403369 SLE=162887 SRE=162888"
"1599","19.883116645","10.7.174.111","192.168.42.169","TCP","66","[TCP Spurious Retransmission] 80  >  43878 [FIN, ACK] Seq=86526 Ack=4419 Win=25216 Len=0 TSval=2549403376 TSecr=2704091810"
"1600","19.883136703","192.168.42.169","10.7.174.111","TCP","78","[TCP Dup ACK 1584#1] 43878  >  80 [ACK] Seq=4420 Ack=86527 Win=184832 Len=0 TSval=2704095616 TSecr=2549403376 SLE=86526 SRE=86527"
"1601","19.887357560","10.7.174.111","192.168.42.169","TCP","66","[TCP Spurious Retransmission] 80  >  43876 [FIN, ACK] Seq=173374 Ack=5253 Win=27392 Len=0 TSval=2549403377 TSecr=2704091810"
"1602","19.887377485","192.168.42.169","10.7.174.111","TCP","78","[TCP Dup ACK 1581#1] 43876  >  80 [ACK] Seq=5254 Ack=173375 Win=184832 Len=0 TSval=2704095617 TSecr=2549403377 SLE=173374 SRE=173375"
"1603","19.931981240","192.168.42.169","10.7.174.111","TCP","66","[TCP Spurious Retransmission] 43876  >  80 [FIN, ACK] Seq=5253 Ack=173375 Win=184832 Len=0 TSval=2704095629 TSecr=2549403377"
"1604","19.939974305","192.168.42.169","10.7.174.111","TCP","66","[TCP Spurious Retransmission] 43880  >  80 [FIN, ACK] Seq=4888 Ack=162888 Win=184832 Len=0 TSval=2704095631 TSecr=2549403369"
"1605","19.943959607","192.168.42.169","10.7.174.111","TCP","66","[TCP Spurious Retransmission] 43870  >  80 [FIN, ACK] Seq=6179 Ack=146331 Win=184832 Len=0 TSval=2704095632 TSecr=2549403311"
"1606","19.947978321","192.168.42.169","10.7.174.111","TCP","66","[TCP Spurious Retransmission] 43878  >  80 [FIN, ACK] Seq=4419 Ack=86527 Win=184832 Len=0 TSval=2704095633 TSecr=2549403376"
"1611","20.447994291","192.168.42.169","10.10.78.22","TCP","66","[TCP Dup ACK 1#2] 57172  >  3128 [ACK] Seq=1 Ack=1 Win=267 Len=0 TSval=3282698434 TSecr=38203323"
"1612","20.456167055","10.10.78.22","192.168.42.169","TCP","66","[TCP Dup ACK 2#2] [TCP ACKed unseen segment] 3128  >  57172 [ACK] Seq=1 Ack=2 Win=147 Len=0 TSval=38205883 TSecr=3282690815"
"1613","20.607993454","192.168.42.169","10.10.78.22","TCP","66","[TCP Keep-Alive] 57184  >  3128 [ACK] Seq=927 Ack=1855 Win=287 Len=0 TSval=3282698474 TSecr=38203414"
"1614","20.610701646","10.10.78.22","192.168.42.169","TCP","66","[TCP Keep-Alive ACK] 3128  >  57184 [ACK] Seq=1855 Ack=928 Win=147 Len=0 TSval=38205922 TSecr=3282695967"
"1615","20.703981508","192.168.42.169","10.10.78.22","TCP","66","[TCP Dup ACK 5#2] 57178  >  3128 [ACK] Seq=1 Ack=1 Win=317 Len=0 TSval=3282698498 TSecr=38203388"
"1616","20.703997203","192.168.42.169","10.10.78.22","TCP","66","[TCP Dup ACK 1428#2] 57202  >  3128 [ACK] Seq=1 Ack=1 Win=317 Len=0 TSval=3282698498 TSecr=38203138"
"1617","20.748780725","10.10.78.22","192.168.42.169","TCP","66","[TCP Dup ACK 6#2] [TCP ACKed unseen segment] 3128  >  57178 [ACK] Seq=1 Ack=2 Win=139 Len=0 TSval=38205954 TSecr=3282690929"
"1618","20.750900220","10.10.78.22","192.168.42.169","TCP","66","[TCP Dup ACK 1429#1] [TCP ACKed unseen segment] 3128  >  57202 [ACK] Seq=1 Ack=2 Win=144 Len=0 TSval=38205955 TSecr=3282693184"
