"No.","Time","Source","Destination","Protocol","Length","Info"
"472","2.919816549","10.7.174.111","192.168.42.169","HTTP","1082","HTTP/1.1 200 OK  (application/javascript)"
"474","2.919915109","10.7.174.111","192.168.42.169","HTTP","824","HTTP/1.1 200 OK  (application/javascript)"
"475","2.938702371","10.7.174.111","192.168.42.169","HTTP","1230","[TCP Spurious Retransmission] HTTP/1.1 200 OK  (application/javascript)"
"497","2.962704415","10.7.174.111","192.168.42.169","HTTP","186","HTTP/1.1 200 OK  (application/javascript)"
"501","3.005879810","10.7.174.111","192.168.42.169","HTTP","1168","HTTP/1.1 200 OK  (application/javascript)"
"561","4.180706387","10.7.174.111","192.168.42.169","HTTP","946","HTTP/1.1 200 OK  (application/javascript)"
"563","4.181018434","192.168.42.169","10.7.174.111","HTTP","501","GET /sites/default/files/imagecache/full_size/images/main/indo-iran.jpg HTTP/1.1 "
"564","4.181086634","192.168.42.169","10.7.174.111","HTTP","505","GET /sites/default/files/imagecache/full_size/images/main/spicmacay17_0.gif HTTP/1.1 "
"565","4.181145340","192.168.42.169","10.7.174.111","HTTP","503","GET /sites/default/files/imagecache/full_size/images/main/industryday.jpg HTTP/1.1 "
"566","4.181221468","192.168.42.169","10.7.174.111","HTTP","506","GET /sites/default/files/imagecache/full_size/phd/stud/image/2012EEZ8378.jpg HTTP/1.1 "
"567","4.181264722","192.168.42.169","10.7.174.111","HTTP","506","GET /sites/default/files/imagecache/full_size/phd/stud/image/2011ESZ8477.jpg HTTP/1.1 "
"568","4.181343650","192.168.42.169","10.7.174.111","HTTP","506","GET /sites/default/files/imagecache/full_size/phd/stud/image/2013CEZ8064.jpg HTTP/1.1 "
"641","4.203636358","10.7.174.111","192.168.42.169","HTTP","1439","HTTP/1.1 200 OK  (JPEG JFIF image)"
"642","4.203729263","192.168.42.169","10.7.174.111","HTTP","506","GET /sites/default/files/imagecache/full_size/phd/stud/image/2012CEZ8028.jpg HTTP/1.1 "
"643","4.203746533","10.7.174.111","192.168.42.169","HTTP","643","HTTP/1.1 200 OK  (GIF89a) (GIF89a) (image/gif)"
"645","4.203820322","192.168.42.169","10.7.174.111","HTTP","506","GET /sites/default/files/imagecache/full_size/phd/stud/image/2010ANZ8829.jpg HTTP/1.1 "
"646","4.207711964","10.7.174.111","192.168.42.169","HTTP","784","HTTP/1.1 200 OK  (JPEG JFIF image)"
"648","4.207846445","192.168.42.169","10.7.174.111","HTTP","501","GET /sites/default/files/imagecache/carousel_thum/carousel/Picture1.jpg HTTP/1.1 "
"667","4.215013115","10.7.174.111","192.168.42.169","HTTP","282","HTTP/1.1 200 OK  (JPEG JFIF image)"
"669","4.215099173","192.168.42.169","10.7.174.111","HTTP","501","GET /sites/default/files/imagecache/carousel_thum/carousel/Picture2.jpg HTTP/1.1 "
"706","4.227637919","10.7.174.111","192.168.42.169","HTTP","168","HTTP/1.1 200 OK  (JPEG JFIF image)"
"707","4.227702865","192.168.42.169","10.7.174.111","HTTP","501","GET /sites/default/files/imagecache/carousel_thum/carousel/Picture3.jpg HTTP/1.1 "
"733","4.233423257","10.7.174.111","192.168.42.169","HTTP","477","HTTP/1.1 200 OK  (JPEG JFIF image)"
"735","4.233498577","192.168.42.169","10.7.174.111","HTTP","498","GET /sites/default/files/imagecache/full_size/images/main/Dental.jpg HTTP/1.1 "
"739","4.237428901","10.7.174.111","192.168.42.169","HTTP","459","HTTP/1.1 200 OK  (JPEG JFIF image)"
"741","4.237511603","192.168.42.169","10.7.174.111","HTTP","498","GET /sites/default/files/imagecache/full_size/images/main/IDIITD.jpg HTTP/1.1 "
"749","4.240489051","10.7.174.111","192.168.42.169","HTTP","674","HTTP/1.1 200 OK  (JPEG JFIF image)"
"751","4.240618704","192.168.42.169","10.7.174.111","HTTP","510","GET /sites/default/files/imagecache/full_size/images/main/hackathon-IITDelhi.jpg HTTP/1.1 "
"774","4.260570048","10.7.174.111","192.168.42.169","HTTP","1164","HTTP/1.1 200 OK  (JPEG JFIF image)"
"775","4.260696476","192.168.42.169","10.7.174.111","HTTP","501","GET /sites/default/files/imagecache/carousel_thum/carousel/Picture4.jpg HTTP/1.1 "
"844","4.293665213","10.7.174.111","192.168.42.169","HTTP","626","HTTP/1.1 200 OK  (JPEG JFIF image)"
"846","4.293739168","192.168.42.169","10.7.174.111","HTTP","498","GET /sites/default/files/imagecache/carousel_thum/carousel/IOT-1.jpg HTTP/1.1 "
"856","4.300731071","10.7.174.111","192.168.42.169","HTTP","605","HTTP/1.1 200 OK  (JPEG JFIF image)"
"857","4.300804881","192.168.42.169","10.7.174.111","HTTP","498","GET /sites/default/files/imagecache/carousel_thum/carousel/IOT-2.jpg HTTP/1.1 "
"932","4.327775802","10.7.174.111","192.168.42.169","HTTP","1193","HTTP/1.1 200 OK  (JPEG JFIF image)"
"933","4.327865151","192.168.42.169","10.7.174.111","HTTP","478","GET /sites/default/files/acquia_prosper_logo.jpg HTTP/1.1 "
"944","4.336268318","10.7.174.111","192.168.42.169","HTTP","1154","HTTP/1.1 200 OK  (JPEG JFIF image)"
"1056","4.397862919","10.7.174.111","192.168.42.169","HTTP","1063","HTTP/1.1 200 OK  (JPEG JFIF image)"
"1073","4.408916113","10.7.174.111","192.168.42.169","HTTP","357","HTTP/1.1 200 OK  (JPEG JFIF image)"
"1211","4.482293042","10.7.174.111","192.168.42.169","HTTP","1091","HTTP/1.1 200 OK  (JPEG JFIF image)"
"1231","4.489748357","10.7.174.111","192.168.42.169","HTTP","1013","HTTP/1.1 200 OK  (JPEG JFIF image)"
"1290","4.524098720","10.7.174.111","192.168.42.169","HTTP","1064","HTTP/1.1 200 OK  (JPEG JFIF image)"
"1292","4.580876315","192.168.42.169","10.7.174.111","HTTP","591","GET /sites/default/themes/acquia_prosper/design_packs/gray/images/secondary-menu-bg.png HTTP/1.1 "
"1293","4.581479858","192.168.42.169","10.7.174.111","HTTP","589","GET /sites/default/themes/acquia_prosper/design_packs/gray/images/primary-menu-bg.png HTTP/1.1 "
"1294","4.582074778","192.168.42.169","10.7.174.111","HTTP","496","GET /misc/menu-leaf.png HTTP/1.1 "
"1295","4.582683685","192.168.42.169","10.7.174.111","HTTP","501","GET /misc/menu-collapsed.png HTTP/1.1 "
"1297","4.584354208","10.7.174.111","192.168.42.169","HTTP","75","HTTP/1.1 200 OK  (PNG)"
"1300","4.584950763","10.7.174.111","192.168.42.169","HTTP","143","HTTP/1.1 200 OK  (PNG)"
"1302","4.585312633","10.7.174.111","192.168.42.169","HTTP","613","HTTP/1.1 200 OK  (PNG)"
"1304","4.585762263","10.7.174.111","192.168.42.169","HTTP","527","HTTP/1.1 200 OK  (PNG)"
"1306","4.605173056","192.168.42.169","10.7.174.111","HTTP","578","GET /sites/default/modules/panels/plugins/styles/corners/shadow-t.png HTTP/1.1 "
"1307","4.606548297","192.168.42.169","10.7.174.111","HTTP","581","GET /sites/default/modules/panels/plugins/styles/corners/corner-bits.png HTTP/1.1 "
"1308","4.607935078","192.168.42.169","10.7.174.111","HTTP","578","GET /sites/default/modules/panels/plugins/styles/corners/shadow-l.png HTTP/1.1 "
"1309","4.608766448","192.168.42.169","10.7.174.111","HTTP","578","GET /sites/default/modules/panels/plugins/styles/corners/shadow-r.png HTTP/1.1 "
"1310","4.609365141","192.168.42.169","10.7.174.111","HTTP","578","GET /sites/default/modules/panels/plugins/styles/corners/shadow-b.png HTTP/1.1 "
"1311","4.609385266","10.7.174.111","192.168.42.169","HTTP","558","HTTP/1.1 200 OK  (PNG)"
"1312","4.609943808","192.168.42.169","10.7.174.111","HTTP","586","GET /sites/default/themes/acquia_prosper/design_packs/gray/images/list-level-1.png HTTP/1.1 "
"1313","4.610204429","10.7.174.111","192.168.42.169","HTTP","934","HTTP/1.1 200 OK  (PNG)"
"1314","4.611093608","192.168.42.169","10.7.174.111","HTTP","584","GET /sites/default/themes/acquia_prosper/design_packs/gray/images/pager-next.png HTTP/1.1 "
"1315","4.611629806","192.168.42.169","10.7.174.111","HTTP","584","GET /sites/default/themes/acquia_prosper/design_packs/gray/images/pager-last.png HTTP/1.1 "
"1316","4.611873856","10.7.174.111","192.168.42.169","HTTP","556","HTTP/1.1 200 OK  (PNG)"
"1317","4.612078505","10.7.174.111","192.168.42.169","HTTP","556","HTTP/1.1 200 OK  (PNG)"
"1318","4.612602253","10.7.174.111","192.168.42.169","HTTP","559","HTTP/1.1 200 OK  (PNG)"
"1322","4.614236334","10.7.174.111","192.168.42.169","HTTP","1261","HTTP/1.1 200 OK  (PNG)"
"1323","4.614429069","10.7.174.111","192.168.42.169","HTTP","747","HTTP/1.1 200 OK  (PNG)"
"1324","4.614801624","10.7.174.111","192.168.42.169","HTTP","779","HTTP/1.1 200 OK  (PNG)"
"1325","4.634425267","192.168.42.169","10.7.174.111","HTTP","556","GET /sites/all/modules/jcarousel/skins/tango/arrows.png HTTP/1.1 "
"1326","4.636353681","192.168.42.169","10.7.174.111","HTTP","590","GET /sites/default/modules/views_nivo_slider/styles/default/bullets.png HTTP/1.1 "
"1345","4.643563429","10.7.174.111","192.168.42.169","HTTP","661","HTTP/1.1 200 OK  (PNG)"
"1346","4.644308900","10.7.174.111","192.168.42.169","HTTP","929","HTTP/1.1 200 OK  (PNG)"
"1353","4.728429452","192.168.42.169","10.7.174.111","HTTP","459","GET /sites/default/themes/acquia_prosper/favicon.ico HTTP/1.1 "
"1354","4.731582357","10.7.174.111","192.168.42.169","HTTP","1317","HTTP/1.1 200 OK  (image/x-icon)"
"1358","7.435100212","10.10.78.22","192.168.42.169","HTTP","105","HTTP/1.0 200 Connection established "
"1360","7.435581392","192.168.42.169","10.10.78.22","TLSv1.2","267","Client Hello"
"1362","8.258937593","10.10.78.22","192.168.42.169","TLSv1.2","1450","Server Hello"
"1365","8.306305464","10.10.78.22","192.168.42.169","TLSv1.2","432","Certificate, Server Key Exchange, Server Hello Done"
"1367","8.314038201","192.168.42.169","10.10.78.22","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request"
"1369","8.314162820","192.168.42.169","10.10.78.22","TLSv1.2","266","Application Data"
"1380","8.608532452","10.10.78.22","192.168.42.169","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"1381","8.627428333","10.10.78.22","192.168.42.169","TLSv1.2","719","Application Data"
"1384","8.627819149","10.10.78.22","192.168.42.169","TLSv1.2","155","Application Data, Application Data"
"1389","8.648702635","192.168.42.169","10.10.78.22","HTTP","299","CONNECT token.services.mozilla.com:443 HTTP/1.1 "
"1401","9.022548437","10.10.78.22","192.168.42.169","HTTP","105","HTTP/1.0 200 Connection established "
"1403","9.022917603","192.168.42.169","10.10.78.22","TLSv1.2","269","Client Hello"
"1414","9.312026633","10.10.78.22","192.168.42.169","TLSv1.2","1450","Server Hello"
"1415","9.312159214","10.10.78.22","192.168.42.169","TLSv1.2","1450","Certificate[TCP segment of a reassembled PDU]"
"1417","9.312243322","10.10.78.22","192.168.42.169","TLSv1.2","286","Server Key Exchange, Server Hello Done"
"1418","9.317852010","192.168.42.169","10.10.78.22","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request"
"1419","9.318107881","192.168.42.169","10.10.78.22","OCSP","529","[TCP Previous segment not captured] Request"
"1422","9.385294321","10.10.78.22","192.168.42.169","OCSP","993","Response"
"1425","9.387038307","192.168.42.169","10.10.78.22","TLSv1.2","1235","Application Data"
"1430","9.603948197","10.10.78.22","192.168.42.169","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"1432","9.699702201","10.10.78.22","192.168.42.169","TLSv1.2","1174","Application Data"
"1437","9.721143209","192.168.42.169","10.10.78.22","HTTP","335","CONNECT sync-479-us-west-2.sync.services.mozilla.com:443 HTTP/1.1 "
"1440","10.216381633","10.10.78.22","192.168.42.169","HTTP","105","HTTP/1.0 200 Connection established "
"1442","10.216603817","192.168.42.169","10.10.78.22","TLSv1.2","287","Client Hello"
"1447","10.508425586","10.10.78.22","192.168.42.169","TLSv1.2","1450","Server Hello"
"1448","10.508657599","10.10.78.22","192.168.42.169","TLSv1.2","1450","Certificate[TCP segment of a reassembled PDU]"
"1450","10.508837676","10.10.78.22","192.168.42.169","TLSv1.2","263","Server Key Exchange, Server Hello Done"
"1451","10.515787907","192.168.42.169","10.10.78.22","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request"
"1453","10.519447205","192.168.42.169","10.10.78.22","OCSP","529","Request"
"1455","10.580234245","10.10.78.22","192.168.42.169","OCSP","993","Response"
"1457","10.584027807","192.168.42.169","10.10.78.22","TLSv1.2","937","Application Data"
"1459","11.639583658","10.10.78.22","192.168.42.169","TLSv1.2","356","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"1460","11.641641332","10.10.78.22","192.168.42.169","TLSv1.2","901","Application Data"
"1462","11.655452714","192.168.42.169","10.10.78.22","TLSv1.2","939","Application Data"
"1464","11.946597543","10.10.78.22","192.168.42.169","TLSv1.2","774","Application Data"
"1465","11.954593177","192.168.42.169","10.10.78.22","TLSv1.2","940","Application Data"
"1467","12.250642218","10.10.78.22","192.168.42.169","TLSv1.2","1223","Application Data"
"1468","12.262318968","192.168.42.169","10.10.78.22","TLSv1.2","940","Application Data"
"1470","13.316479930","10.10.78.22","192.168.42.169","TLSv1.2","1223","Application Data"
"1471","13.328825201","192.168.42.169","10.10.78.22","TLSv1.2","940","Application Data"
"1475","14.545803061","10.10.78.22","192.168.42.169","TLSv1.2","1035","Application Data"
"1479","14.576587802","192.168.42.169","10.10.78.22","TLSv1.2","937","Application Data"
"1490","14.928873670","10.10.78.22","192.168.42.169","TLSv1.2","901","Application Data"
"1491","14.946430183","192.168.42.169","10.10.78.22","TLSv1.2","939","Application Data"
"1506","15.334124149","10.10.78.22","192.168.42.169","TLSv1.2","774","Application Data"
"1509","15.356120909","192.168.42.169","10.10.78.22","TLSv1.2","911","Application Data"
"1515","16.020154027","10.10.78.22","192.168.42.169","TLSv1.2","1216","Application Data"
"1516","16.032690118","192.168.42.169","10.10.78.22","TLSv1.2","665","Application Data"
"1520","16.356792165","10.10.78.22","192.168.42.169","TLSv1.2","1286","Application Data"
"1522","16.370516618","192.168.42.169","10.10.78.22","TLSv1.2","210","Application Data"
"1526","16.757465653","10.10.78.22","192.168.42.169","TLSv1.2","697","Application Data"
"1528","16.797640354","192.168.42.169","10.10.78.22","TLSv1.2","908","Application Data"
"1538","17.104895603","10.10.78.22","192.168.42.169","TLSv1.2","889","Application Data"
"1541","17.127134317","192.168.42.169","10.10.78.22","TLSv1.2","206","Application Data"
"1544","18.493669935","10.10.78.22","192.168.42.169","TLSv1.2","697","Application Data"
"1546","18.568936882","192.168.42.169","10.10.78.22","TLSv1.2","1341","Application Data"
"1548","18.931703808","10.10.78.22","192.168.42.169","TLSv1.2","701","Application Data"
"1562","19.145943871","192.168.42.169","10.10.78.22","TLSv1.2","526","Application Data"
"1592","19.760827663","10.10.78.22","192.168.42.169","TLSv1.2","97","Encrypted Alert"
"1619","21.875132408","10.10.78.22","192.168.42.169","TLSv1.2","1002","Application Data"
